,AIRFLOW_CTX_DAG_OWNER,AIRFLOW_CTX_DAG_ID,AIRFLOW_CTX_TASK_ID,AIRFLOW_CTX_EXECUTION_DATE,AIRFLOW_CTX_TRY_NUMBER,AIRFLOW_CTX_DAG_RUN_ID
51,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
52,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
53,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
54,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
55,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
56,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
57,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
58,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
59,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
60,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
61,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
62,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
63,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
64,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
65,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
66,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
67,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
68,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
69,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
70,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
71,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
72,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
73,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
74,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
75,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
76,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
77,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
78,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
79,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
80,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
81,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
82,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
83,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
84,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
85,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
86,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
87,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
88,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
89,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
90,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
91,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
92,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
93,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
94,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
95,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
96,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
